date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:53	5339/5339	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c3a6445-14db%22	https://colorlib.com/preview/theme/homespace/js/jquery.countdown.min.js	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/js/jquery.countdown.min.js	(from https://colorlib.com/preview/theme/homespace/)
14:23:53	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c3a6446-4ef8%22	https://colorlib.com/preview/theme/homespace/js/jquery.magnific-popup.min.js	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/js/jquery.magnific-popup.min.js	(from https://colorlib.com/preview/theme/homespace/)
14:23:54	34172/34172	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c3a643d-857c%22	https://colorlib.com/preview/theme/homespace/js/bootstrap-datepicker.min.js	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/js/bootstrap-datepicker.min.js	(from https://colorlib.com/preview/theme/homespace/)
14:23:54	14244/14244	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c3a6439-37a4%22	https://colorlib.com/preview/theme/homespace/js/aos.js	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/js/aos.js	(from https://colorlib.com/preview/theme/homespace/)
14:23:56	6597/6597	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c3a6447-19c5%22	https://colorlib.com/preview/theme/homespace/js/main.js	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/js/main.js	(from https://colorlib.com/preview/theme/homespace/)
14:23:56	51039/51039	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c3a643e-c75f%22	https://colorlib.com/preview/theme/homespace/js/bootstrap.min.js	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/js/bootstrap.min.js	(from https://colorlib.com/preview/theme/homespace/)
14:23:57	12021/12021	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cdb0d1a-2ef5%22	https://ajax.cloudflare.com/cdn-cgi/scripts/a2bd7673/cloudflare-static/rocket-loader.min.js	C:/Users/Anisha%20Gaywala/Desktop/template/ajax.cloudflare.com/cdn-cgi/scripts/a2bd7673/cloudflare-static/rocket-loader.min.js	(from https://colorlib.com/preview/theme/homespace/)
14:24:04	307168/307168	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225c3a654c-4afe0%22	https://colorlib.com/preview/theme/homespace/fonts/icomoon/fonts/icomoon.ttf?10si43	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/fonts/icomoon/fonts/icomoon1a44.ttf	(from https://colorlib.com/preview/theme/homespace/fonts/icomoon/style.css)
14:24:07	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202019%2008:54:07%20GMT	https://colorlib.com/preview/theme/homespace/css/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png	(from https://colorlib.com/preview/theme/homespace/css/jquery-ui.css)
14:24:09	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202019%2008:54:08%20GMT	https://colorlib.com/preview/theme/homespace/css/images/ui-bg_glass_85_dfeffc_1x400.png	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/images/ui-bg_glass_85_dfeffc_1x400.png	(from https://colorlib.com/preview/theme/homespace/css/jquery-ui.css)
